question,option_a,option_b,option_c,option_d,correct_answer,sub_topic,quiz_set
"The Instructions for the Virginia Colony warned against settling too close to the mouth of a river because ___.","there would be more flooding and rain","crops would not grow in the marshy areas","an enemy could have success attacking","Natives were likely to already live there","an enemy could have success attacking","US - History","24-25-set1"
"The excerpt above from The Mayflower Compact was signed by subjects of ___ the monarch of Great Britain.","Queen Elizabeth","King James","Queen Victoria","King George","King James","US - History","24-25-set1"
"A ___ government is based on the belief that power is held by the people and their concerns should be addressed by elected officials.","parliamentarian","federal","representative","centralized","representative","US - History","24-25-set1"
"The Charter of Massachusetts Bay created a colony in the area known at the time as ___.","Quebec","New England","Maine","Boston","New England","US - Geography","24-25-set1"
"___ are examples of limited governments in Southwest Asia.","Saudi Arabia and Iraq","Syria and Iran","Turkey and Israel","Qatar and Kuwait","Turkey and Israel","World - Geography","24-25-set1"
"The United States and Canada have very developed economies and are highly industrialized. Immigration is important in these countries to provide ___.","labor","capital","natural resources","technology","labor","US - Economics","24-25-set1"
"French explorers in Texas were motivated by the desire to start a colony that would give them access to ___.","the Mississippi River","the Hill Country","trade routes to Mexico","a Northwest Passage","the Mississippi River","Texas - Citizenship","24-25-set1"
"The characteristic of the U.S. system of free enterprise that most helps produce better products and lower prices is ___.","private property","entrepreneurship","limited regulation","competition","competition","US - Economics","24-25-set1"
"All of the following are examples of civic participation EXCEPT for ___.","being informed about issues","starting a business","voting","supporting public policies","starting a business","US - History","24-25-set1"
"___ is the active involvement of individuals at the local, state, and national levels of government.","charity work","civic participation","public awareness","self-employment","civic participation","US - History","24-25-set1"
"Some British colonists were active in ___ that generally featured small-scale production of goods at home.","subsistence farming","cash crops","indentured servitude","cottage industries","cottage industries","US - Economics","24-25-set1"
"___ is the current President of the United States.","Joseph Biden","Kamala Harris","Chuck Schumer","Donald Trump","Joseph Biden","US - History","24-25-set1"
"The economic theory of ___ stated that a nation's wealth is created by beneficial trade based on exploiting the resources of its colonies.","mercantilism","capitalism","free trade","command economies","mercantilism","US - Economics","24-25-set1"
"Without the ability of colonists to have ___, it would have been difficult for a free enterprise system to take root.","religious freedom","freedom of the press","representative government","private property","private property","US - Economics","24-25-set2"
"The city of New Orleans was founded by the ___ in 1718 and became a major port at the mouth of the Mississippi River.","Spanish","French","British","Swiss","French","US - Geography","24-25-set2"
"The Trans-Atlantic slave trade enslaved Africans and forced them to migrate mainly to ___.","British North America","the Caribbean and Brazil","French North America","Europe","the Caribbean and Brazil","World - Geography","24-25-set2"
"The plantation system that used large amounts of enslaved people to operate, generally existed in the ___ region of British colonies.","mountainous","southern","western","driest","southern","US - Geography","24-25-set2"
"All of the items listed above are examples of ___ governments. (List includes: Theocracy, Oligarchy, Absolute Monarchy)","unlimited","representative","communist","limited","unlimited","World - Geography","24-25-set2"
"Taking care of yourself and accepting responsibility for your actions are examples of ___.","political rights","personal responsibilities","economic responsibilities","civic rights","personal responsibilities","US - History","24-25-set2"
"The ___ was adopted in 1639 and became the first written constitution in the North American colonies.","Fundamental Orders of Connecticut","Mayflower Compact","Articles of Confederation","Bill of Rights","Fundamental Orders of Connecticut","US - History","24-25-set2"
"___ was an outspoken supporter of religious freedom in the Massachusetts Bay colony that was banished due to her beliefs. She fled to the colony of Rhode Island.","Abigail Adams","Anne Hutchinson","Rebecca Nurse","Anne Bradstreet","Anne Hutchinson","US - History","24-25-set2"
"René Robert Cavelier, Sieur de la Salle was a ___ explorer that tried to establish a colony along the Mississippi River, but actually landed at Matagorda.","Spanish","French","British","Portuguese","French","Texas - Citizenship","24-25-set2"
"Colonies such as ___, Rhode Island, and New Hampshire mainly focused on economic activities such as ship building and trade.","Massachusetts","Pennsylvania","South Carolina","Virginia","Massachusetts","US - Economics","24-25-set2"
"In a ___ country, the government owns most industries and businesses and there is little to no private ownership.","communist","capitalist","free enterprise","theocratic","communist","World - Economics","24-25-set2"
"The above excerpt from the Mayflower Compact states that the document was signed at ___. (""In witness whereof we have hereunto subscribed our names at..."")","Jamestown","Cape Cod","Roanoke","Boston","Cape Cod","US - History","24-25-set2"
"The ___ government became more interested in creating settlements in Texas to keep the French from establishing control of the region.","British","Spanish","Dutch","Mexican","Spanish","Texas - Citizenship","24-25-set2"
"The Charter of Massachusetts specifically calls for the creation of the offices of ___.","Mayor and City Manager","President and Vice President","Senate Leader and Speaker","Governor and Deputy Governor","Governor and Deputy Governor","US - History","24-25-set2"
"___ were colonial military settlements used by the Spanish to defend the territory they claimed from Native populations.","Missions","Caudillos","Presidios","Rancheros","Presidios","Texas - Citizenship","24-25-set2"
"The Charter of Massachusetts Bay was authorized by the King of England, ___.","James II","Henry VIII","Charles I","Richard I","Charles I","US - History","24-25-set2"
"Qatar, Saudi Arabia, and Iran are all examples of unlimited governments in ___.","Southwest Asia","East Asia","North Africa","Western Europe","Southwest Asia","World - Geography","24-25-set2"
"The current Chief Justice of the U.S. Supreme Court is ___.","John Roberts","Sonia Sotomayor","Elena Kagan","Ketanji Brown Jackson","John Roberts","US - History","24-25-set2"
"The Virginia House of Burgesses held its first session as a representative part of the colonial government in ___.","1631","1619","1585","1607","1619","US - History","24-25-set2"
"According to The Instructions for the Virginia Company, the chief way to prosper and have success was ___.","to drill troops regularly and intensely","to all work together for the good of the country","to work in the fields every day without fail","to find gold or other precious metals","to all work together for the good of the country","US - History","24-25-set2"
"A socialist economic system generally provides a wide variety of services to its citizens, but also features ___ than a free enterprise system.","higher taxes","less employment","less exchanging of goods","more private property","higher taxes","World - Economics","24-25-set2"
"The Mayflower Compact states that the Mayflower was sent in order to plant the first colony in ___.","Northern Virginia","North America","Massachusetts","New England","Northern Virginia","US - History","24-25-set2"
"Nearly all ___ nations have featured limited governments for decades.","East Asian","Southwest Asian","Western European","Southeast Asian","Western European","World - Geography","24-25-set2"
"The Minority Leader of the House of Representatives is currently, ___.","Hakeem Jefferies","Nancy Pelosi","Mike Johnson","Kevin McCarthy","Hakeem Jefferies","US - History","24-25-set2"
"A(n) ___ has elected leaders that act on behalf of the citizens.","unlimited government","representative government","coalition government","totalitarian government","representative government","US - History","24-25-set2"
"When ___ is in short supply in an economy, it can result in migration, outsourcing, and even enslavement.","natural resources are","labor is","capital is","entrepreneurs are","labor is","World - Economics","24-25-set2"
"Respecting the rights of others, being informed about needs of the community, and staying informed about the actions of elected leaders are all examples of ___.","personal responsibilities","economic responsibilities","civic responsibilities","governmental responsibilities","civic responsibilities","US - History","24-25-set2"
"The Instructions for the Virginia Company required that carpenters and skilled builders first construct a ___ before any private structures.","storehouse","church","school","garrison","storehouse","US - History","24-25-set2"
"Fishing was most essential to the economy of the ___ British colonies in North America.","southern","southeastern","midwestern","northeastern","northeastern","US - Economics","24-25-set2"
"The will of the majority and a focus on the good of the settlement were principles of the ___ written in 1620.","Mayflower Compact","English Bill of Rights","Albany Plan of Union","Fundamental Orders of Connecticut","Mayflower Compact","US - History","24-25-set2"
"All of the above items describe ___ colonies in North America. (Had many settlements in Canada, Sent Jesuit Missionaries, Used St. Lawrence River, Focused on fur trade)","Spanish","Dutch","French","Portuguese","French","US - History","24-25-set2"
"The amounts of entrepreneurs and foreign capital were limited in ___ prior to the 1990s, which limited the ability of its economy to grow.","Russia","China","Canada","Japan","Russia","World - Economics","24-25-set2"
"The Maryland Act of Toleration was the first law in the North American colonies requiring ___.","all men be allowed to vote","religious freedom for all Christians","the colonial governor be elected","freedom of the press","religious freedom for all Christians","US - History","24-25-set2"
"All of the following are major characteristics of the free enterprise system in the United States EXCEPT for ___.","economic freedom","voluntary exchange of goods","equal wealth distribution","private property","equal wealth distribution","US - Economics","24-25-set2"
"A country that has a limited supply of natural resources may develop a(n) ___ which is an economy based almost entirely on a single crop.","monoculture","trade deficit","service economy","import policy","monoculture","World - Economics","24-25-set2"
"The free enterprise economy of the North American colonies under British rule was limited due to government restrictions on ___.","employment","agricultural","education","trade","trade","US - Economics","24-25-set2"
"On June 19, 1865, enslaved people in Texas were informed about the Emancipation Proclamation when General Gordon Granger announced the end of slavery and the Civil War in ___.","Nacogdoches","Austin","Galveston","San Antonio","Galveston","Texas - Citizenship","24-25-set2"
"The Massachusetts Bay Colony established in ___ was a charter colony.","1629","1607","1620","1638","1629","US - History","24-25-set2"
"___ is the Majority Leader of the United States Senate.","Mike Johnson","Mitch McConnell","Chuck Schumer","Hakeem Jefferies","Chuck Schumer","US - History","24-25-set2"
"All of the following were mentioned as the three main types of jobs assigned by The Instructions for the Virginia Company EXCEPT for ___?","building fortifications","making treaties with locals","preparing the land for farming","exploring the surrounding area","making treaties with locals","US - History","24-25-set2"
"Leaders of the Texas independence movement first officially announced their separation from Mexico at ___.","Washington-on-the-Brazos","Austin","The Alamo","San Jacinto","Washington-on-the-Brazos","Texas - Citizenship","24-25-set3"
"The desire for financial gain that acts as an incentive in the free enterprise system is known as ___.","exploitation","opportunity cost","profit motive","entrepreneurship","profit motive","US - Economics","24-25-set3"
"The first permanent European settlement in, what is now, the United States was ___. It was founded by Spain in 1565.","St. Augustine","New Orleans","Roanoke","Quebec","St. Augustine","US - History","24-25-set3"
"All of the following examples in the diagram above belong in the box EXCEPT for ___. (Influence of the Spanish Government in Colonial Texas)","Roman Catholicism","Representative government","Central town squares","Administration by appointed leaders","Representative government","Texas - Citizenship","24-25-set3"
"___ is an essential characteristic of the free enterprise economic system. It is a transaction where consumers and producers trade goods and services freely.","Profit motive","Investment opportunity","Technological innovation","Voluntary exchange","Voluntary exchange","US - Economics","24-25-set3"
"In 1608, ___ Pierre de Mons and Samuel de Champlain founded the first permanent settlement in the St. Lawrence Valley at Quebec City.","British","French","Dutch","Swiss","French","US - History","24-25-set3"
"The above excerpt from The Instructions for the Virginia Company can best be completed by that statement that Natives should not be allowed to know ___. (""...Do not advertise..."")","when members of the settlement have been killed or are sick","where the grain or harvest is stored","what other countries have established settlements","how the cannons or firearms work or are repaired","when members of the settlement have been killed or are sick","US - History","24-25-set3"
"Francisco Coronado was a Spanish conquistador that explored the ___ and searched for the Seven Cities of Gold.","Mississippi River","Florida coast","Missouri River","Palo Duro Canyon","Palo Duro Canyon","Texas - Citizenship","24-25-set3"
"The factor of production most affected by drought and a lack of readily available water sources is/are ___.","capital","natural resources","entrepreneurship","technology","natural resources","World - Economics","24-25-set3"
"William Penn was a devout member of the ___ faith. He helped settle the colony of Pennsylvania which allowed for freedom of worship.","Catholic","Mormon","Quaker","Puritan","Quaker","US - History","24-25-set3"
"Shipbuilding was most significant in the economy of the ___ colonies.","Middle","Southern","French","New England","New England","US - Economics","24-25-set3"
"All of the following were motivations for the Spanish to explore and settle Texas EXCEPT for ___.","spreading Christianity","finding precious metals","expanding the influence of the King","furthering religious freedom","furthering religious freedom","Texas - Citizenship","24-25-set3"
"When ___ is/are in short supply in an economy it can result in a lack of development and the need for foreign involvement.","labor","natural resources","entrepreneurship","capital","capital","World - Economics","24-25-set3"
"The ___ was the dangerous and often deadly journey by enslaved Africans from West Africa to the West Indies where they were to be sold.","triangular trade","mercantile system","middle passage","trail of tears","middle passage","US - History","24-25-set3"
"The Mayflower Compact was needed to create a new agreement for governing because the passenger's original leaders' authority was meant for a settlement in ___.","Florida","Virginia","New England","Canada","Virginia","US - History","24-25-set3"
"All the items listed above are best described as examples of ___. (Right to vote, Speak freely, Protest peacefully)","political rights","economic rights","personal rights","personal responsibilities","political rights","US - History","24-25-set3"
"___ is the factor of production that is readily available in several Southwest Asian economies due to the sale of oil.","Capital","Natural resources","Labor","Entrepreneurship","Capital","World - Economics","24-25-set3"
"The settlement site recommended by The Instructions for the Virginia Company needed to be not too moist and also not too ___.","mountainous","dry","covered by woods","near a lake","covered by woods","US - History","24-25-set3"
"All of the following were listed as reasons needed for the creation of the Mayflower Compact EXCEPT for the need ___?","to enact ordinances","to raise an army","to frame laws","to constitute officers","to raise an army","US - History","24-25-set3"
"The ability to own property, change employment, or join a union are examples of ___ in a society with a representative government.","political rights","economic rights","personal rights","voting rights","economic rights","US - Economics","24-25-set3"
"As of 2024, ___ served as the Attorney General of the United States.","Tom Vilsack","Merrick Garland","Christopher Wray","Antony Blinken","Merrick Garland","US - History","24-25-set3"
"According to the Charter, future governors and other officers of the Massachusetts Bay Company ___.","were appointed by the king","inherited their positions","would be elected by members of the company","were appointed for life","would be elected by members of the company","US - History","24-25-set3"
"A free enterprise system requires competition in order to thrive, but the British government tried to limit that in its colonies by using a ___ system.","capitalist","command","mercantilist","free trade","mercantilist","US - Economics","24-25-set3"
"Free speech, right to property, and the ability to freely exercise a religion are all key components of societies with ___ governments.","unlimited","representative","traditional","communist","representative","US - History","24-25-set3"
"As of 2024, ___ was the Secretary of State for the United States.","Antony Blinken","Lloyd Austin","Hakeem Jefferies","Chuck Schumer","Antony Blinken","US - History","24-25-set3"
"The first Governor of the Massachusetts Bay Company was ___.","Matthew Cradock","William Bradford","John Smith","Jonathan Edwards","Matthew Cradock","US - History","24-25-set3"
"Crops such as indigo, rice, and sugar were mainly grown in the ___ colonies.","western","northern","middle","southern","southern","US - Economics","24-25-set3"
"Another example of a limited government would be ___. (List includes: Australia, South Korea, Philippines)","New Zealand","Cuba","Syria","North Korea","New Zealand","World - Geography","24-25-set3"
"As of 2024, the United States Senate Majority Leader was ___.","Rand Paul","Ted Cruz","John Cornyn","Chuck Schumer","Chuck Schumer","US - History","24-25-set3"
"All of the following are examples of unlimited government systems EXCEPT for ___.","dictatorship","totalitarianism","single-party rule","republic","republic","World - Geography","24-25-set3"
"The ___ became an example of representative government that was imitated by many other British colonies as more were established in North America.","House of Lords","Continental Congress","New York State Assembly","Virginia House of Burgesses","Virginia House of Burgesses","US - History","24-25-set3"
"The first English settlement attempted in North America was founded in 1585 at ___ by Sir Walter Raleigh.","Jamestown","Plymouth","Roanoke Island","Popham","Roanoke Island","US - History","24-25-set3"
"The Mayflower Compact states that the signers wanted to combine themselves into a ___ for a better chance at preservation and success in their goals.","""house of Congress""","""civil body politick""","""more perfect Union""","""a humble religion""","""civil body politick""","US - History","24-25-set3"
"Enslaved people in American colonies were mainly used in the production of ___.","manufactured goods","cotton and plantation crops","ships and trading vessels","cottage industries","cotton and plantation crops","US - Economics","24-25-set3"
"The leadership positions created by The Massachusetts Bay Charter were able to create laws and rules for the colony as long as they were ___.","not in opposition to English laws","fair to all people of all backgrounds","voted on by all inhabitants","based on the Old Testament","not in opposition to English laws","US - History","24-25-set3"
"China, Laos, and Vietnam are all examples of ___ governments.","unlimited","limited","market economies","mixed-market economies","unlimited","World - Geography","24-25-set3"
"An agreement among people in a group to cooperate for the benefits of the community is known as a ___.","constitution","bill of rights","social contract","charter","social contract","US - History","24-2S-set3"
"One of the main reasons that the ___ tried to establish colonies in North and South America was to spread the influence of Catholicism.","British","Spanish","French","Germans","Spanish","US - History","24-25-set3"
"An example of the ___ spirit of colonists in North America was their development of cottage industries to produce goods and start businesses.","laissez-faire","entrepreneurial","mercantilist","patriotic","entrepreneurial","US - Economics","24-25-set3"
"Wages in the United States under a free enterprise system are generally determined by ___.","the availability of natural resources","what society values","federal legislation","state law","what society values","US - Economics","24-25-set3"
